Model,Edge Type,Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
GAT,Combined,1,22.030309,69.897821,,
GAT,Combined,2,10.527907,55.395138,,
GAT,Combined,3,7.030298,44.785821,,
GAT,Combined,4,5.382857,38.497756,,
GAT,Combined,5,4.426571,33.764064,,
GAT,Combined,6,3.83383,30.542099,,
GAT,Combined,7,3.421668,27.258078,,
GAT,Combined,8,3.110856,26.942961,,
GAT,Combined,9,2.875983,24.687258,,
GAT,Combined,10,2.668485,21.972479,,
GAT,Combined,11,2.509192,21.883608,,
GAT,Combined,12,2.364706,18.248889,,
GAT,Combined,13,2.244699,17.555569,,
GAT,Combined,14,2.144412,16.794544,,
GAT,Combined,15,2.067241,15.54641,,
GAT,Combined,16,1.980749,13.592783,,
GAT,Combined,17,1.929941,12.921438,,
GAT,Combined,18,1.867738,12.88305,,
GAT,Combined,19,1.798201,12.09129,,
GAT,Combined,20,1.750171,10.959163,,
GAT,Combined,21,1.709258,10.570254,,
GAT,Combined,22,1.678966,10.844628,,
GAT,Combined,23,1.633899,9.938385,,
GAT,Combined,24,1.596057,9.017612,,
GAT,Combined,25,1.572081,9.392991,,
GAT,Combined,26,1.539345,8.799194,,
GAT,Combined,27,1.513217,8.746228,,
GAT,Combined,28,1.487146,8.337592,,
GAT,Combined,29,1.476378,7.652934,,
GAT,Combined,30,1.443866,7.770845,,
GAT,Combined,31,1.428794,7.454904,,
GAT,Combined,32,1.408985,7.35065,,
GAT,Combined,33,1.399365,6.562729,,
GAT,Combined,34,1.379469,6.965569,,
GAT,Combined,35,1.361803,6.634443,,
GAT,Combined,36,1.346331,7.089624,,
GAT,Combined,37,1.347867,6.417185,,
GAT,Combined,38,1.322354,6.095749,,
GAT,Combined,39,1.320497,6.959116,,
GAT,Combined,40,1.309117,5.985116,,
GAT,Combined,41,1.288208,5.993266,,
GAT,Combined,42,1.288481,6.41847,,
GAT,Combined,43,1.276275,5.496765,,
GAT,Combined,44,1.26125,5.221198,,
GAT,Combined,45,1.265849,5.378911,,
GAT,Combined,46,1.25262,5.195112,,
GAT,Combined,47,1.249639,5.117874,,
GAT,Combined,48,1.230275,5.006563,,
GAT,Combined,49,1.228295,5.037488,,
GAT,Combined,50,1.22154,4.843219,,
GAT,Combined,51,1.213437,4.682396,,
GAT,Combined,52,1.220824,5.011149,,
GAT,Combined,53,1.217965,4.563168,,
GAT,Combined,54,1.196229,4.616758,,
GAT,Combined,55,1.188068,4.612001,,
GAT,Combined,56,1.180968,4.72593,,
GAT,Combined,57,1.177302,4.338421,,
GAT,Combined,58,1.171445,4.223414,,
GAT,Combined,59,1.179659,4.627579,,
GAT,Combined,60,1.163849,4.277122,,
GAT,Combined,61,1.162218,4.318711,,
GAT,Combined,62,1.166126,4.100593,,
GAT,Combined,63,1.168457,4.209334,,
GAT,Combined,64,1.154055,4.266719,,
GAT,Combined,65,1.142898,3.984466,,
GAT,Combined,66,1.140346,4.050505,,
GAT,Combined,67,1.141867,4.141008,,
GAT,Combined,68,1.131237,3.800837,,
GAT,Combined,69,1.138674,4.011287,,
GAT,Combined,70,1.12999,3.955413,,
GAT,Combined,71,1.130743,3.961199,,
GAT,Combined,72,1.12284,3.779559,,
GAT,Combined,73,1.118685,3.715973,,
GAT,Combined,74,1.115851,3.904515,,
GAT,Combined,75,1.127342,3.719695,,
GAT,Correlation,1,4.671142,9.958746,,
GAT,Correlation,2,2.625535,7.544605,,
GAT,Correlation,3,1.729515,6.071119,,
GAT,Correlation,4,1.489451,5.442603,,
GAT,Correlation,5,1.381036,4.98939,,
